user_id,nama,gender,usia,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,lat,long,pendapatan_bulan,pengeluaran_bulan,tabungan_bulan,spending_ratio,impulse_base
BUDU00038,Eko Rajasa,L,43,D,Kelas D (Menengah Bawah),Teknisi,Cirebon,Kota Kecil,320000,-6.982,108.6328,2985757,2679448,306309,0.897,0.25
BUDU00039,Gita Mahendra,P,25,D,Kelas D (Menengah Bawah),Driver Ojek Online,Magelang,Kota Kecil,130000,-7.1532,110.0377,2066593,1864561,202032,0.902,0.25
BUDU00040,Clara Nugroho,P,31,E,Kelas E (Miskin),Nelayan,Magelang,Kota Kecil,130000,-7.4063,110.3495,1469760,1334980,134780,0.908,0.15
BUDU00041,Ella Purwanto,P,43,C,Kelas C (Menengah),Wirausaha Kecil,Tegal,Kota Kecil,285000,-6.875,108.6978,6125184,4415623,1709561,0.721,0.4
BUDU00042,Tari Kusuma,P,44,C,Kelas C (Menengah),PNS Golongan II,Bandung,Kota Besar,2500000,-7.3164,107.2032,5752120,4338325,1413795,0.754,0.4
BUDU00043,Ani Setiawan,P,34,D,Kelas D (Menengah Bawah),Teknisi,Tasikmalaya,Kota Kecil,700000,-6.9702,107.955,1849842,1672827,177015,0.904,0.25
BUDU00044,Candra Sutrisno,L,43,B,Kelas B (Menengah Atas),Pengacara,Surabaya,Kota Besar,3100000,-7.4272,112.6866,14259255,7320994,6938261,0.513,0.55
BUDU00045,Zulfi Hidayat,L,21,C,Kelas C (Menengah),Pegawai Swasta,Makassar,Kota Besar,1500000,-5.4102,119.3329,5596841,3946317,1650524,0.705,0.4
BUDU00046,Rizki Yulianto,L,22,B,Kelas B (Menengah Atas),Engineer Senior,Makassar,Kota Besar,1500000,-5.6043,119.8573,19608424,13329393,6279031,0.68,0.55
BUDU00047,Bella Wibowo,P,34,C,Kelas C (Menengah),Guru Tetap,Makassar,Kota Besar,1500000,-4.9508,119.3169,5782994,4407579,1375415,0.762,0.4
BUDU00048,Putri Rahayu,P,32,D,Kelas D (Menengah Bawah),Admin Kantor,Magelang,Kota Kecil,130000,-7.516,110.0711,2430198,2063776,366422,0.849,0.25
BUDU00049,Yanto Siregar,L,19,D,Kelas D (Menengah Bawah),SPG/SPB,Purwokerto,Kota Kecil,290000,-7.0991,109.6923,1919645,1676565,243080,0.873,0.25
BUDU00050,Bagas Kusuma,L,37,B,Kelas B (Menengah Atas),Dosen,Palembang,Kota Besar,1700000,-2.6655,105.2627,9142845,4458090,4684755,0.488,0.55
BUDU00051,Yanto Gunawan,L,40,C,Kelas C (Menengah),Wirausaha Kecil,Bandung,Kota Besar,2500000,-7.4038,107.1945,4874772,3666692,1208080,0.752,0.4
BUDU00052,Gita Setiawan,P,50,A,Kelas A (Kaya),Investor,Bogor,Metropolitan,1100000,-6.6466,106.4352,118420556,63498915,54921641,0.536,0.65
BUDU00053,Afifah Wijaya,P,29,D,Kelas D (Menengah Bawah),Driver Ojek Online,Surabaya,Kota Besar,3100000,-7.2813,113.0835,1670336,1340148,330188,0.802,0.25
BUDU00054,Nadia Firmansyah,P,28,C,Kelas C (Menengah),Perawat,Tegal,Kota Kecil,285000,-6.7491,109.3443,3536060,2287308,1248752,0.647,0.4
BUDU00055,Sinta Kusuma,P,28,C,Kelas C (Menengah),Perawat,Tangerang,Metropolitan,2100000,-6.1228,106.5911,4749899,3801362,948537,0.8,0.4
BUDU00056,Wulan Budiman,P,21,C,Kelas C (Menengah),PNS Golongan II,Semarang,Kota Besar,1800000,-7.427,109.9662,6706350,4939745,1766605,0.737,0.4
BUDU00057,Tari Sutrisno,P,35,D,Kelas D (Menengah Bawah),Driver Ojek Online,Pekalongan,Kota Kecil,310000,-6.6909,109.3554,2190178,1901962,288216,0.868,0.25
BUDU00058,Ahmad Kusuma,L,38,B,Kelas B (Menengah Atas),Manajer,Bekasi,Metropolitan,2700000,-6.4563,106.6666,9910037,4679278,5230759,0.472,0.55
BUDU00059,Firmansyah Gunawan,L,31,C,Kelas C (Menengah),Guru Tetap,Jombang,Kota Kecil,190000,-7.5667,112.4167,5761579,4105497,1656082,0.713,0.4
BUDU00060,Wahyu Purwanto,L,44,B,Kelas B (Menengah Atas),Engineer Senior,Denpasar,Kota Besar,900000,-8.6339,115.6366,16727375,8514721,8212654,0.509,0.55
BUDU00061,Wahyu Sanjaya,L,22,D,Kelas D (Menengah Bawah),Karyawan Toko,Denpasar,Kota Besar,900000,-8.6588,115.2447,1699675,1305723,393952,0.768,0.25
BUDU00062,Vino Lubis,L,30,D,Kelas D (Menengah Bawah),Teknisi,Kediri,Kota Kecil,320000,-8.2273,112.0465,1530106,1208243,321863,0.79,0.25
BUDU00063,Dewi Purnomo,P,31,C,Kelas C (Menengah),PNS Golongan II,Surabaya,Kota Besar,3100000,-7.1998,112.8386,3347681,2424327,923354,0.724,0.4
BUDU00064,Wahyu Wijaya,L,25,D,Kelas D (Menengah Bawah),SPG/SPB,Jombang,Kota Kecil,190000,-7.8106,111.8307,2247371,1743929,503442,0.776,0.25
BUDU00065,Nadia Rajasa,P,42,C,Kelas C (Menengah),Staf Administrasi,Yogyakarta,Kota Besar,420000,-7.5986,110.8668,3320934,2647629,673305,0.797,0.4
BUDU00066,Maya Siregar,P,34,A,Kelas A (Kaya),Investor,Jakarta,Metropolitan,10500000,-5.9903,106.8806,42215386,16590049,25625337,0.393,0.65
BUDU00067,Fajar Sutrisno,L,27,B,Kelas B (Menengah Atas),Dokter,Jakarta,Metropolitan,10500000,-6.0982,106.6342,16571213,9865001,6706212,0.595,0.55
BUDU00068,Deni Santoso,L,37,A,Kelas A (Kaya),CEO/Direktur,Bekasi,Metropolitan,2700000,-5.7449,106.812,79054836,38971056,40083780,0.493,0.65
BUDU00069,Eko Wahyudi,L,35,E,Kelas E (Miskin),Asisten Rumah Tangga,Tasikmalaya,Kota Kecil,700000,-6.9999,108.4643,1224271,1105648,118623,0.903,0.15
BUDU00070,Ulfa Susanto,P,19,C,Kelas C (Menengah),Staf Administrasi,Yogyakarta,Kota Besar,420000,-7.5141,110.6974,5964482,4563487,1400995,0.765,0.4
BUDU00071,Hendra Sutrisno,L,39,D,Kelas D (Menengah Bawah),Guru Honorer,Jombang,Kota Kecil,190000,-7.3648,112.1808,2284598,1990669,293929,0.871,0.25
BUDU00072,Yuni Santoso,P,24,C,Kelas C (Menengah),Perawat,Palembang,Kota Besar,1700000,-3.4095,104.5044,6598298,4746993,1851305,0.719,0.4
BUDU00073,Putri Saputra,P,29,A,Kelas A (Kaya),CEO/Direktur,Tangerang,Metropolitan,2100000,-5.9287,106.7134,123223274,67687504,55535770,0.549,0.65
BUDU00074,Erwin Iskandar,L,24,D,Kelas D (Menengah Bawah),Teknisi,Tasikmalaya,Kota Kecil,700000,-7.7477,108.2548,2571096,2093900,477196,0.814,0.25
BUDU00075,Ahmad Hidayat,L,23,E,Kelas E (Miskin),Pedagang Kaki Lima,Cirebon,Kota Kecil,320000,-7.2198,108.6507,960475,887014,73461,0.924,0.15
BUDU00076,Galih Iskandar,L,47,D,Kelas D (Menengah Bawah),Admin Kantor,Blitar,Kota Kecil,150000,-8.0924,112.2801,2375087,1788628,586459,0.753,0.25
BUDU00077,Fajar Setiawan,L,42,C,Kelas C (Menengah),Perawat,Jombang,Kota Kecil,190000,-7.6237,112.4653,5828954,4695577,1133377,0.806,0.4
BUDU00078,Ivan Nasution,L,26,B,Kelas B (Menengah Atas),Dosen,Jakarta,Metropolitan,10500000,-5.8389,106.8644,9422171,5632752,3789419,0.598,0.55
BUDU00079,Sari Harahap,P,43,D,Kelas D (Menengah Bawah),Karyawan Toko,Desa Cikaret,Desa,2800,-6.1626,107.2199,2405582,1945824,459758,0.809,0.25
BUDU00080,Dhea Firmansyah,P,30,C,Kelas C (Menengah),Wirausaha Kecil,Kediri,Kota Kecil,320000,-8.151,111.5451,3563428,2382237,1181191,0.669,0.4
BUDU00081,Lina Kusuma,P,35,C,Kelas C (Menengah),Pegawai Swasta,Jakarta,Metropolitan,10500000,-6.1515,107.2062,3712143,2664262,1047881,0.718,0.4
BUDU00082,Bagas Lubis,L,31,D,Kelas D (Menengah Bawah),Karyawan Toko,Tasikmalaya,Kota Kecil,700000,-7.8141,108.1904,2699673,2283985,415688,0.846,0.25
BUDU00083,Ani Siregar,P,32,D,Kelas D (Menengah Bawah),Karyawan Toko,Magelang,Kota Kecil,130000,-7.7978,110.5795,2101144,1913805,187339,0.911,0.25
BUDU00084,Rahma Lubis,P,49,D,Kelas D (Menengah Bawah),Guru Honorer,Yogyakarta,Kota Besar,420000,-8.2685,110.0915,2759683,2178170,581513,0.789,0.25
BUDU00085,Intan Setiawan,P,22,C,Kelas C (Menengah),Perawat,Cirebon,Kota Kecil,320000,-6.4267,109.041,5610984,4111187,1499797,0.733,0.4
BUDU00086,Ivan Siregar,L,27,B,Kelas B (Menengah Atas),Dosen,Bekasi,Metropolitan,2700000,-6.6494,106.6975,10810920,4936623,5874297,0.457,0.55
BUDU00087,Bella Wijaya,P,47,B,Kelas B (Menengah Atas),Dosen,Denpasar,Kota Besar,900000,-8.7908,115.3029,15121896,7818261,7303635,0.517,0.55
BUDU00088,Rini Wijaya,P,45,D,Kelas D (Menengah Bawah),Pedagang Warung,Semarang,Kota Besar,1800000,-7.3531,110.7888,1829265,1523528,305737,0.833,0.25
BUDU00089,Maman Sanjaya,L,38,C,Kelas C (Menengah),PNS Golongan II,Bandung,Kota Besar,2500000,-7.2781,107.954,5795383,4732327,1063056,0.817,0.4
BUDU00090,Vevi Wahyudi,P,45,B,Kelas B (Menengah Atas),Pengacara,Jakarta,Metropolitan,10500000,-6.4347,106.8998,13885601,8509861,5375740,0.613,0.55
BUDU00091,Samsul Nasution,L,25,C,Kelas C (Menengah),Wirausaha Kecil,Surabaya,Kota Besar,3100000,-7.157,112.9171,4065993,2596469,1469524,0.639,0.4
BUDU00092,Andi Prasetyo,L,48,B,Kelas B (Menengah Atas),Arsitek,Medan,Kota Besar,2400000,3.3405,98.5615,9396821,4906770,4490051,0.522,0.55
BUDU00093,Afifah Susanto,P,48,B,Kelas B (Menengah Atas),Engineer Senior,Tangerang Selatan,Metropolitan,1700000,-6.0541,106.4253,12156441,5565167,6591274,0.458,0.55
BUDU00094,Ayu Iskandar,P,48,D,Kelas D (Menengah Bawah),Driver Ojek Online,Cirebon,Kota Kecil,320000,-7.1254,108.1274,1732008,1513415,218593,0.874,0.25
BUDU00095,Indri Kurniawan,P,20,C,Kelas C (Menengah),Staf Administrasi,Purwokerto,Kota Kecil,290000,-7.6495,109.3327,3311061,2249582,1061479,0.679,0.4
BUDU00096,Ayu Saputra,P,41,B,Kelas B (Menengah Atas),Analis Keuangan,Yogyakarta,Kota Besar,420000,-7.4227,110.6017,13776908,8977588,4799320,0.652,0.55
BUDU00097,Putri Mahendra,P,42,C,Kelas C (Menengah),Sales,Bandung,Kota Besar,2500000,-6.4734,107.1585,5586659,4219193,1367466,0.755,0.4
BUDU00098,Fitri Yulianto,P,35,A,Kelas A (Kaya),Pengusaha,Depok,Metropolitan,2200000,-5.9781,107.2653,35667935,19020994,16646941,0.533,0.65
BUDU00099,Gilang Kusuma,L,32,C,Kelas C (Menengah),Wirausaha Kecil,Yogyakarta,Kota Besar,420000,-8.0656,109.9901,5578186,3441349,2136837,0.617,0.4
BUDU00100,Tono Nugroho,L,33,C,Kelas C (Menengah),PNS Golongan II,Palembang,Kota Besar,1700000,-3.1573,104.9013,6215907,4941118,1274789,0.795,0.4
BUDU00101,Gilang Saputra,L,49,B,Kelas B (Menengah Atas),Engineer Senior,Surabaya,Kota Besar,3100000,-6.8184,113.0509,7003087,4898544,2104543,0.699,0.55
BUDU00102,Putra Mahendra,L,39,E,Kelas E (Miskin),Ojek Konvensional,Desa Panyingkiran,Desa,3700,-6.2822,106.7214,990180,936597,53583,0.946,0.15
BUDU00103,Bagas Kusuma,L,28,E,Kelas E (Miskin),Buruh Tani,Desa Sukamaju,Desa,5000,-5.7897,106.3451,963525,832708,130817,0.864,0.15
BUDU00104,Ivan Budiman,L,24,C,Kelas C (Menengah),Sales,Tangerang Selatan,Metropolitan,1700000,-6.1859,107.1141,5354216,4377718,976498,0.818,0.4
BUDU00105,Prio Budiman,L,47,A,Kelas A (Kaya),Pengusaha,Bekasi,Metropolitan,2700000,-6.688,106.8737,99005783,25842448,73163335,0.261,0.65
BUDU00106,Hendra Siregar,L,49,B,Kelas B (Menengah Atas),Pengacara,Bekasi,Metropolitan,2700000,-6.2099,106.7498,18489216,10701780,7787436,0.579,0.55
BUDU00107,Dimas Susanto,L,24,C,Kelas C (Menengah),Guru Tetap,Bandung,Kota Besar,2500000,-6.5226,107.9792,3895270,2729163,1166107,0.701,0.4
BUDU00108,Deni Mahendra,L,45,D,Kelas D (Menengah Bawah),SPG/SPB,Jombang,Kota Kecil,190000,-7.4969,111.8159,1553133,1272695,280438,0.819,0.25
BUDU00109,Julia Kusuma,P,20,E,Kelas E (Miskin),Ojek Konvensional,Tegal,Kota Kecil,285000,-6.3779,108.7017,954128,920522,33606,0.965,0.15
BUDU00110,Afifah Wijaya,P,32,C,Kelas C (Menengah),Guru Tetap,Yogyakarta,Kota Besar,420000,-7.4982,110.528,6457971,5083250,1374721,0.787,0.4
BUDU00111,Vino Nasution,L,39,D,Kelas D (Menengah Bawah),SPG/SPB,Denpasar,Kota Besar,900000,-8.2889,115.6739,2427917,2013059,414858,0.829,0.25
BUDU00112,Oscar Nasution,L,42,B,Kelas B (Menengah Atas),Dosen,Tangerang Selatan,Metropolitan,1700000,-6.0301,106.4691,9089878,4529334,4560544,0.498,0.55
BUDU00113,Ayu Hidayat,P,25,C,Kelas C (Menengah),Pegawai Swasta,Medan,Kota Besar,2400000,3.2236,98.4555,5536022,3344057,2191965,0.604,0.4
BUDU00114,Kevin Iskandar,L,51,A,Kelas A (Kaya),Artis/Influencer,Tangerang,Metropolitan,2100000,-6.6024,106.4412,122544907,56671092,65873815,0.462,0.65
BUDU00115,Samsul Yulianto,L,20,C,Kelas C (Menengah),Staf Administrasi,Bogor,Metropolitan,1100000,-6.6511,106.9536,6409658,4683967,1725691,0.731,0.4
BUDU00116,Rizki Wibowo,L,36,E,Kelas E (Miskin),Asisten Rumah Tangga,Cirebon,Kota Kecil,320000,-6.9584,109.0494,1339285,1212593,126692,0.905,0.15
BUDU00117,Mira Budiman,P,30,B,Kelas B (Menengah Atas),Engineer Senior,Tangerang,Metropolitan,2100000,-6.0157,106.4135,17919313,12323396,5595917,0.688,0.55
BUDU00118,Intan Hartono,P,49,E,Kelas E (Miskin),Pedagang Kaki Lima,Tegal,Kota Kecil,285000,-6.3854,109.0495,1475164,1425352,49812,0.966,0.15
BUDU00119,Vino Rajasa,L,29,D,Kelas D (Menengah Bawah),SPG/SPB,Blitar,Kota Kecil,150000,-8.4391,111.8723,2796537,2140743,655794,0.765,0.25
BUDU00120,Nisa Susanto,P,39,C,Kelas C (Menengah),Perawat,Bekasi,Metropolitan,2700000,-6.1182,107.2861,4176671,2948458,1228213,0.706,0.4
BUDU00121,Dinda Purwanto,P,33,C,Kelas C (Menengah),Guru Tetap,Pekalongan,Kota Kecil,310000,-6.8066,109.4443,3902160,3025981,876179,0.775,0.4
BUDU00122,Rudi Kusuma,L,48,A,Kelas A (Kaya),Artis/Influencer,Palembang,Kota Besar,1700000,-3.1844,104.9704,71420860,36284419,35136441,0.508,0.65
BUDU00123,Hana Purnomo,P,28,B,Kelas B (Menengah Atas),Arsitek,Yogyakarta,Kota Besar,420000,-7.8132,110.0798,19826613,10637060,9189553,0.537,0.55
BUDU00124,Andi Santoso,L,21,E,Kelas E (Miskin),Pedagang Kaki Lima,Desa Cikaret,Desa,2800,-6.3422,106.6221,1045438,1021467,23971,0.977,0.15
BUDU00125,Sinta Saputra,P,22,C,Kelas C (Menengah),Sales,Medan,Kota Besar,2400000,3.9914,98.767,3418271,2514661,903610,0.736,0.4
BUDU00126,Putri Hidayat,P,37,C,Kelas C (Menengah),Perawat,Medan,Kota Besar,2400000,3.5796,98.833,6206912,4479282,1727630,0.722,0.4
BUDU00127,Deni Purnomo,L,26,B,Kelas B (Menengah Atas),Pengacara,Tangerang,Metropolitan,2100000,-6.4231,106.2997,12701893,8484177,4217716,0.668,0.55
BUDU00128,Doni Budiman,L,43,D,Kelas D (Menengah Bawah),Driver Ojek Online,Cirebon,Kota Kecil,320000,-7.2111,108.7056,2488061,2006605,481456,0.806,0.25
BUDU00129,Gilang Budiman,L,19,C,Kelas C (Menengah),Staf Administrasi,Tasikmalaya,Kota Kecil,700000,-6.9823,108.4455,3122610,2383786,738824,0.763,0.4
BUDU00130,Dinda Prasetyo,P,19,C,Kelas C (Menengah),Sales,Semarang,Kota Besar,1800000,-7.4638,110.3158,6468125,4743474,1724651,0.733,0.4
BUDU00131,Nanang Sutrisno,L,38,B,Kelas B (Menengah Atas),Pengacara,Makassar,Kota Besar,1500000,-5.1819,119.7687,18860723,9599128,9261595,0.509,0.55
BUDU00132,Gita Saputra,P,24,C,Kelas C (Menengah),Wirausaha Kecil,Tegal,Kota Kecil,285000,-7.3003,109.0774,6885580,4278882,2606698,0.621,0.4
BUDU00133,Vino Harahap,L,34,C,Kelas C (Menengah),Pegawai Swasta,Bandung,Kota Besar,2500000,-7.0185,107.9771,3654095,2199717,1454378,0.602,0.4
BUDU00134,Tono Wibowo,L,28,B,Kelas B (Menengah Atas),Manajer,Yogyakarta,Kota Besar,420000,-7.7758,110.2065,18488225,12150847,6337378,0.657,0.55
BUDU00135,Ulfa Santoso,P,24,C,Kelas C (Menengah),Pegawai Swasta,Medan,Kota Besar,2400000,3.8316,98.836,4437002,3125508,1311494,0.704,0.4
BUDU00136,Kevin Rahayu,L,23,C,Kelas C (Menengah),Pegawai Swasta,Cirebon,Kota Kecil,320000,-7.109,108.2834,3447678,2107818,1339860,0.611,0.4
BUDU00137,Hendra Santoso,L,36,E,Kelas E (Miskin),Buruh Tani,Desa Rawa Indah,Desa,6500,-6.2201,106.986,829101,706609,122492,0.852,0.15
BUDU00138,Okta Rajasa,P,31,C,Kelas C (Menengah),PNS Golongan II,Semarang,Kota Besar,1800000,-7.3675,110.053,4955386,3129719,1825667,0.632,0.4
BUDU00139,Ella Santoso,P,41,D,Kelas D (Menengah Bawah),Guru Honorer,Pekalongan,Kota Kecil,310000,-7.1333,109.8369,1734245,1589205,145040,0.916,0.25
BUDU00140,Maman Yulianto,L,41,C,Kelas C (Menengah),Sales,Blitar,Kota Kecil,150000,-7.8028,112.5873,5282438,3867453,1414985,0.732,0.4
BUDU00141,Hendra Purnomo,L,20,C,Kelas C (Menengah),Wirausaha Kecil,Tangerang Selatan,Metropolitan,1700000,-6.4686,107.0768,5631381,4609478,1021903,0.819,0.4
BUDU00142,Bunga Wahyudi,P,46,B,Kelas B (Menengah Atas),Analis Keuangan,Palembang,Kota Besar,1700000,-3.0379,105.1768,12253824,8203602,4050222,0.669,0.55
BUDU00143,Hana Iskandar,P,32,C,Kelas C (Menengah),Wirausaha Kecil,Semarang,Kota Besar,1800000,-6.8834,110.4837,3023034,2066825,956209,0.684,0.4
BUDU00144,Gilang Nugroho,L,18,C,Kelas C (Menengah),PNS Golongan II,Cirebon,Kota Kecil,320000,-6.7685,108.4321,5348246,4224758,1123488,0.79,0.4
BUDU00145,Wahyu Mahendra,L,28,C,Kelas C (Menengah),Perawat,Semarang,Kota Besar,1800000,-7.0165,110.3147,4595291,3312613,1282678,0.721,0.4
BUDU00146,Farida Nasution,P,23,C,Kelas C (Menengah),Staf Administrasi,Semarang,Kota Besar,1800000,-6.5385,110.575,3030251,2071529,958722,0.684,0.4
BUDU00147,Firmansyah Sanjaya,L,42,A,Kelas A (Kaya),Pengusaha,Depok,Metropolitan,2200000,-5.9729,106.8265,53380953,22648450,30732503,0.424,0.65
BUDU00148,Vina Purwanto,P,40,C,Kelas C (Menengah),PNS Golongan II,Kediri,Kota Kecil,320000,-7.7913,112.2202,5089924,3173633,1916291,0.624,0.4
BUDU00149,Dinda Purwanto,P,20,D,Kelas D (Menengah Bawah),Karyawan Toko,Kediri,Kota Kecil,320000,-7.6785,112.0264,2723622,2317534,406088,0.851,0.25
BUDU00150,Cantika Hidayat,P,42,D,Kelas D (Menengah Bawah),Karyawan Toko,Magelang,Kota Kecil,130000,-7.7049,110.5403,2334955,1919416,415539,0.822,0.25
BUDU00151,Sari Santoso,P,33,B,Kelas B (Menengah Atas),Arsitek,Semarang,Kota Besar,1800000,-6.6304,110.137,8988789,4260045,4728744,0.474,0.55
BUDU00152,Agus Wahyudi,L,25,D,Kelas D (Menengah Bawah),Guru Honorer,Jombang,Kota Kecil,190000,-7.06,111.8653,2086358,1811323,275035,0.868,0.25
BUDU00153,Mulyadi Gunawan,L,18,C,Kelas C (Menengah),Perawat,Semarang,Kota Besar,1800000,-6.7689,110.4987,4364360,2881854,1482506,0.66,0.4
